No Akun,Nama Akun
1411.01,kayu Lunak 260 WJY
1411.02,Kayu Keras 260 WJY
1411.03,Kayu Lunak 130 WJY
1411.04,Kayu Keras 130 WJY
1411.05,Kayu Meranti WJY
1411.06,Kayu Rijek WJY
1411.07,kayu Lunak 230 WJY
1411.08,kayu Lunak 100 WJY
1413.03,log core 260 WJY
1413.04,log core 130 WJY
1413.06,Kayu Keras 260 WHN
1413.07,Kayu Lunak 130 WHN
1413.08,Kayu Keras 130 WHN
1413.09,Kayu Meranti WHN
1413.10,Kayu Rijek WHN
1413.11,kayu Lunak 230 WHN
1413.12,kayu Lunak 100 WHN
1413.13,log core 260 WHN
1414.00,log core 130 WHN
1421.00,Veneer Basah 260 face/back sengon WJY
1421.01,Veneer Basah 260 face/back sengon WHN
1422.00,Veneer Basah 260 face/back meranti WJY
1422.01,Veneer Basah 260 face/back meranti WHN
1426.00,Veneer Basah 130 core sengon WJY
1426.01,Veneer Basah 130 core sengon WHN
1427.00,Veneer Basah 130 core meranti WJY
1427.01,Veneer Basah 130 core meranti WHN
1428.00,Veneer Basah ppc meranti WJY
1428.01,Veneer Basah ppc meranti WHN
1429.00,Veneer Basah ppc sengon WJY
1429.01,Veneer Basah ppc sengon WHN
1441.00,Veneer Kering 260 face/back sengon WJY
1441.01,Veneer Kering 260 face/back sengon WHN
1442.00,Veneer Kering 260 face/back meranti WJY
1442.01,Veneer Kering 260 face/back meranti WHN
1446.00,Veneer Kering 130 core sengon WJY
1446.01,Veneer Kering 130 core sengon WHN
1447.00,Veneer Kering 130 core meranti WJY
1447.01,Veneer Kering 130 core meranti WHN
1451.00,Veneer Kering ppc meranti WJY
1451.01,Veneer Kering ppc meranti WHN
1452.00,Veneer Kering ppc sengon WJY
1452.01,Veneer Kering ppc sengon WHN
1461.00,Veneer Jadi 260 face/back sengon WJY
1461.01,Veneer Jadi 260 face/back sengon WHN
1462.00,Veneer Jadi 260 face/back meranti WJY
1462.01,Veneer Jadi 260 face/back meranti WHN
1466.00,Veneer Jadi 130 core sengon WJY
1466.01,Veneer Jadi 130 core sengon WHN
1467.00,Veneer Jadi 130 core meranti WJY
1467.01,Veneer Jadi 130 core meranti WHN
1471.00,Veneer Jadi ppc meranti WJY
1471.01,Veneer Jadi ppc meranti WHN
1472.00,Veneer Jadi ppc sengon WJY
1472.01,Veneer Jadi ppc sengon WHN
1506.37,100x100x2 lps MTH WJY
1506.38,100x100x3 lps MTH WJY
1506.78,100x100x2 lps MTH WJY
1506.79,100x100x3 lps MTH WJY
1506.80,platform 12fm MTH WJY
1506.81,platform 18fm MTH WJY
1506.82,platform 15fm MTH WJY
1506.84,platform 9 better lokal MTH WJY
1506.85,platform 11fm MTH WJY
1506.86,platform 8 MTH WJY
1506.88,platform 9fm MTH WJY
1506.90,110x70x2 lps MTH WJY
1506.91,110x70x3 lps MTH WJY
1506.97,50x50x3 MTH WJY
1507.35,isolasi coklat WHN
1507.58,coolant oil WJY
1507.59,hadner WJY
1507.60,Isi cutter WJY
1507.61,Isi Staples WJY
1507.62,Tepung WJY
1507.63,Lem Aruki WJY
1507.64,Lem Dover WJY
1507.65,Lem PAI WJY
1507.66,isolasi putih WJY
1507.67,isolasi coklat WJY
1507.68,stapler WJY
